date,away_team,away_score,home_team,home_score,overtime
2024-08-21,Pacific OR,0,Corban,1,
2024-08-22,Tarleton St,8,Austin Col,0,
2024-08-23,Regent,0,E Mennonite,1,
2024-08-23,Sewanee,1,Dalton St,1,
2024-08-24,Northwest WA,1,Puget Sound,0,
2024-08-24,George Fox,1,Oregon Tech,1,
2024-08-25,Bellarmine,8,Asbury,0,
2024-08-27,Navy,8,Wilson,0,
2024-08-27,Berea,0,Midway,4,
2024-08-30,Calvin,4,IL Tech,0,
2024-08-30,Capital,1,Hanover,2,
2024-08-30,Messiah,0,Carnegie Mellon,0,O1
2024-08-30,Le Tourneau,0,Carroll WI,4,
2024-08-30,Case Western,5,Kenyon,0,
2024-08-30,Albion,1,Lawrence Tech,3,
2024-08-30,Chicago,3,Dominican IL,0,
2024-08-30,VA Wesleyan,0,Chris Newport,0,
2024-08-30,Clarkson,4,SUNY Potsdam,0,
2024-08-30,Alfred,7,Hilbert,0,
2024-08-30,Washington & Lee,0,College of NJ,1,
2024-08-30,St Catherine,3,WI Stevens Pt,1,
2024-08-30,Augustana IL,4,Concordia IL,0,
2024-08-30,Concordia TX,4,Huston-Tillot,1,
2024-08-30,Brockport St,5,Allegheny,0,
2024-08-30,NC Wesleyan,1,Bob Jones,2,
2024-08-30,Crown MN,0,Augsburg,1,
2024-08-30,Curry,1,Salve Regina,0,
2024-08-30,Delaware Val,0,Ursinus,4,
2024-08-30,Denison,0,Otterbein,1,
2024-08-30,Widener,2,DeSales,1,
2024-08-30,Dickinson,1,PSU-Harrisburg,0,
2024-08-30,Wilson,1,E Mennonite,0,
2024-08-30,E Texas Bap,0,UC Santa Cruz,3,
2024-08-30,Rutgers-Newark,2,Eastern Univ,3,
2024-08-30,Elmhurst,2,Lake Forest,2,
2024-08-30,Ithaca,6,Elmira,0,
2024-08-30,Mary Baldwin,2,Ferrum,5,
2024-08-30,Framingham St,0,Roger Williams,7,
2024-08-30,Franklin,1,Wilmington OH,2,
2024-08-30,Geneva,2,Juniata,2,
2024-08-30,Greenville,2,DePauw,2,
2024-08-30,Grinnell,0,Dubuque,3,
2024-08-30,Washington MD,3,Grove City,2,
2024-08-30,Gwynedd-Mercy,8,PSU-Brandywine,0,
2024-08-30,Hamline,1,Whitworth,4,
2024-08-30,Hobart & Smith,8,Plattsburgh St,0,
2024-08-30,Hood,0,Bryn Mawr,0,
2024-08-30,Centre,1,Hope,1,
2024-08-30,Lancaster Bib,4,Houghton,4,O1
2024-08-30,MS Women,0,Huntingdon,3,
2024-08-30,Johns Hopkins,2,Pac Lutheran,3,
2024-08-30,Babson,2,J&W RI,3,
2024-08-30,Kalamazoo,0,Carleton MN,1,
2024-08-30,Keene St,3,Rivier,1,
2024-08-30,La Verne,1,Oberlin,1,
2024-08-30,Concordia WI,1,Lawrence,0,
2024-08-30,Moravian,1,Lebanon Val,0,
2024-08-30,Aurora,0,Loras,4,
2024-08-30,Pitt-Greensburg,1,Lycoming,2,
2024-08-30,McMurry,7,Lyon,0,
2024-08-30,Buena Vista,1,Martin Luther,1,
2024-08-30,Maryville TN,2,Bridgewater VA,2,
2024-08-30,Susquehanna,0,Misericordia,8,
2024-08-30,Mt Union,1,Waynesburg,2,
2024-08-30,Elizabethtown,2,Muhlenberg,1,
2024-08-30,Wash & Jeff,1,Muskingum,2,
2024-08-30,Bridgewater MA,2,N Central IL,7,
2024-08-30,Macalester,5,Northwestern MN,0,
2024-08-30,Norwich,3,NVU-Johnson,0,
2024-08-30,Notre Dame MD,1,PSU-Mont Alto,0,
2024-08-30,Ohio Wesleyan,1,Mt St Joseph,0,
2024-08-30,Pacific OR,0,Multnomah Bib,2,
2024-08-30,Benedictine IL,0,North Park,3,
2024-08-30,Redlands,6,WI Stout,0,
2024-08-30,Cortland St,3,Rensselaer,2,
2024-08-30,Great Lakes Chr,1,Ripon,1,
2024-08-30,Russell Sage,0,SUNY New Paltz,1,
2024-08-30,St Mary's MN,3,MN Morris,1,
2024-08-30,St Olaf,1,Wartburg,0,
2024-08-30,St Scholastica,0,WI River Falls,1,
2024-08-30,St Vincent,1,Marietta,0,
2024-08-30,Salisbury,1,Rutgers-Camden,1,
2024-08-30,St John Fisher,0,Skidmore,4,
2024-08-30,MA Boston,2,Smith,0,
2024-08-30,Belhaven MS,1,St Thomas TX,0,
2024-08-30,SUNY Poly,2,SUNY Canton,0,
2024-08-30,Farmingdale,1,W New England,2,
2024-08-30,Hartwick,1,SUNY Oneonta,1,
2024-08-30,Thiel,0,La Roche,3,
2024-08-30,Washington StL,8,Trine,1,
2024-08-30,Worcester Tech,1,Union NY,0,
2024-08-30,U New England,5,St Joseph's ME,0,
2024-08-30,Utica,7,Morrisville St,0,
2024-08-30,Fitchburg St,0,Brandeis,7,
2024-08-30,Wentworth Tech,1,Lesley,2,
2024-08-30,W Woods,0,Westminster MO,0,
2024-08-30,Wheaton IL,3,Milwaukee Eng,6,
2024-08-30,Centenary NJ,0,Wm Paterson,4,
2024-08-30,Meredith,3,WI Lutheran,2,
2024-08-30,St Benedict,0,WI Eau Claire,2,
2024-08-30,WI Superior,0,WI LaCrosse,5,
2024-08-30,Central IA,3,WI Whitewater,0,
2024-08-30,Wittenberg,2,Cedarville,4,
2024-08-30,PSU-Berks,1,York PA,2,
2024-08-30,Keuka,0,Buffalo St,3,
2024-08-30,Albertus Magnus,2,Nichols,2,
2024-08-30,Mt St Vincent,6,City Col NY,0,
2024-08-30,MA Col Lib Arts,1,Dean,2,
2024-08-30,Drew,1,Manhattanville,0,
2024-08-30,Monmouth IL,1,Edgewood,1,O1
2024-08-30,Husson,3,Emmanuel MA,5,
2024-08-30,Ramapo,0,FDU Madison,1,
2024-08-30,Frank & Marsh,0,Catholic,1,
2024-08-30,Haverford,2,Arcadia,1,
2024-08-30,Gettysburg,0,Emerson,1,
2024-08-30,MIT,3,Gordon,0,
2024-08-30,TX Lutheran,1,Hardin-Simmons,2,
2024-08-30,Kean,0,Scranton,2,
2024-08-30,King's PA,1,Stevenson,1,
2024-08-30,Marian WI,2,Carthage,3,
2024-08-30,Willamette,0,Austin Col,1,
2024-08-30,Randolph-Macon,1,Mary Washington,2,
2024-08-30,Shenandoah,3,Marymount VA,2,
2024-08-30,MA Dartmouth,1,Regis MA,4,
2024-08-30,McDaniel,4,Goucher,0,
2024-08-30,Swarthmore,1,Montclair St,1,
