date,game,missing_teams
2024-08-21,Pacific OR 0 @ Corban 1,home: Corban
2024-08-22,Tarleton St 8 @ Austin Col 0,away: Tarleton St
2024-08-23,Sewanee 1 @ Dalton St 1,home: Dalton St
2024-08-24,Northwest WA 1 @ Puget Sound 0,away: Northwest WA
2024-08-24,George Fox 1 @ Oregon Tech 1,home: Oregon Tech
2024-08-25,Bellarmine 8 @ Asbury 0,away: Bellarmine
2024-08-27,Navy 8 @ Wilson 0,away: Navy
2024-08-27,Berea 0 @ Midway 4,home: Midway
2024-08-30,Albion 1 @ Lawrence Tech 3,home: Lawrence Tech
2024-08-30,Concordia TX 4 @ Huston-Tillot 1,home: Huston-Tillot
2024-08-30,NC Wesleyan 1 @ Bob Jones 2,home: Bob Jones
2024-08-30,Notre Dame MD 1 @ PSU-Mont Alto 0,home: PSU-Mont Alto
2024-08-30,Pacific OR 0 @ Multnomah Bib 2,home: Multnomah Bib
2024-08-30,Great Lakes Chr 1 @ Ripon 1,away: Great Lakes Chr
2024-08-30,W Woods 0 @ Westminster MO 0,away: W Woods
2024-08-30,Wittenberg 2 @ Cedarville 4,home: Cedarville
2024-08-30,Providence Chr 1 @ St Mary's IN 0,away: Providence Chr
2024-08-30,Five Towns 0 @ St Elizabeth 10,away: Five Towns
2024-08-30,Schreiner 1 @ Texas A&M-SA 1,home: Texas A&M-SA
2024-08-31,Christendom 0 @ Hollins 3,away: Christendom
2024-08-31,Meredith 0 @ Bob Jones 2,home: Bob Jones
2024-08-31,IN S Bend 2 @ Anderson IN 3,away: IN S Bend
2024-08-31,Chaminade 4 @ Lewis & Clark 1,away: Chaminade
2024-08-31,Viterbo 3 @ Bethany Luth 1,away: Viterbo
2024-08-31,Linfield 0 @ Multnomah Bib 0,home: Multnomah Bib
2024-08-31,Univ Ozarks 7 @ Central Bap 0,home: Central Bap
2024-09-01,Hawaii Pacific 0 @ Lewis & Clark 0,away: Hawaii Pacific
2024-09-01,Pacific OR 1 @ Warner Pacific 1,home: Warner Pacific
2024-09-01,UT Dallas 1 @ UC Santa Cruz 1,away: UT Dallas
2024-09-01,Olivet MI 2 @ MI Dearborn 0,home: MI Dearborn
2024-09-01,George Fox 2 @ Multnomah Bib 0,home: Multnomah Bib
2024-09-01,ME Augusta 0 @ ME Presque Isle 2,away: ME Augusta
2024-09-01,NVU-Johnson 3 @ Paul Smith's 0,home: Paul Smith's
2024-09-02,Salem NC 1 @ Columbia SC 6,home: Columbia SC
2024-09-02,Linfield 2 @ Evergreen St 0,home: Evergreen St
2024-09-02,Faith Bap 3 @ Blackburn 0,away: Faith Bap
2024-09-03,Manchester 1 @ IN S Bend 1,home: IN S Bend
2024-09-03,Austin Col 8 @ Arlington Bap 0,home: Arlington Bap
2024-09-03,LaGrange 1 @ Point 1,home: Point
2024-09-03,ME Farmington 7 @ ME Augusta 2,home: ME Augusta
2024-09-04,Great Lakes Chr 2 @ Elmhurst 2,away: Great Lakes Chr
2024-09-04,La Verne 3 @ Life Pacific 2,home: Life Pacific
2024-09-04,Martin Luther 0 @ Dakota Wesleyan 4,home: Dakota Wesleyan
2024-09-04,PSU-Schuylkill 3 @ Valley Forge 0,away: PSU-Schuylkill
2024-09-04,Randolph Col 2 @ Virginia St 1,home: Virginia St
2024-09-04,Carlow 0 @ PSU-Mont Alto 0,home: PSU-Mont Alto
2024-09-04,St Mary-Woods 2 @ Anderson IN 2,away: St Mary-Woods
2024-09-04,York NE 0 @ NE Wesleyan 1,away: York NE
2024-09-04,Madonna 6 @ Alma 1,away: Madonna
2024-09-04,Emmanuel MA 10 @ Fisher 0,home: Fisher
2024-09-04,Piedmont 1 @ Toccoa Falls 1,home: Toccoa Falls
2024-09-04,Peace 0 @ Carolina Univ 2,home: Carolina Univ
2024-09-04,Berea 0 @ Johnson TN 1,home: Johnson TN
2024-09-04,Olivet MI 0 @ Ohio Chr 2,home: Ohio Chr
2024-09-04,Adrian 6 @ Defiance 0,home: Defiance
2024-09-05,Hendrix 1 @ Ark Pine Bluff 1,home: Ark Pine Bluff
2024-09-05,Lyon 3 @ Randall 0,home: Randall
2024-09-05,Thiel 11 @ PSU-Beaver 0,home: PSU-Beaver
2024-09-05,Whittier 0 @ La Sierra 0,home: La Sierra
2024-09-06,Vermont Tech 1 @ NVU-Johnson 5,away: Vermont Tech
2024-09-06,Chris Newport 3 @ UT Dallas 0,home: UT Dallas
2024-09-06,Covenant 3 @ Bob Jones 1,home: Bob Jones
2024-09-06,Whitman 0 @ Eastern Oregon 2,home: Eastern Oregon
2024-09-06,Grinnell 2 @ Mt Mercy 1,home: Mt Mercy
2024-09-06,St Thomas TX 3 @ North American 1,home: North American
2024-09-06,George Fox 1 @ Corban 0,home: Corban
2024-09-06,Blackburn 0 @ UHSP 4,home: UHSP
2024-09-06,Schreiner 1 @ Huston-Tillot 0,home: Huston-Tillot
2024-09-06,UTRGV 5 @ Howard Payne 0,away: UTRGV
2024-09-06,Governors St 4 @ Knox 1,away: Governors St
2024-09-07,La Verne 3 @ Stanton 0,home: Stanton
2024-09-07,Bob Jones 1 @ Maryville TN 4,away: Bob Jones
2024-09-07,Ferrum 5 @ Virginia St 1,home: Virginia St
2024-09-07,Manchester 0 @ Cleary 2,home: Cleary
2024-09-07,PSU-Schuylkill 1 @ Rosemont 4,away: PSU-Schuylkill
2024-09-07,SUNY-ESF 2 @ SUNY Canton 2,away: SUNY-ESF
2024-09-07,Great Lakes Chr 2 @ Bluffton 1,away: Great Lakes Chr
2024-09-07,Stephens 0 @ Westminster MO 3,away: Stephens
2024-09-07,Principia 0 @ Brescia 1,home: Brescia
2024-09-07,N Central MN 0 @ Faith Bap 2,home: Faith Bap
2024-09-07,SW Christian 0 @ Univ Ozarks 0,away: SW Christian
2024-09-07,ME Ft Kent 5 @ Fisher 0,"home: Fisher, away: ME Ft Kent"
2024-09-08,Patrick Henry 0 @ Sweet Briar 1,away: Patrick Henry
2024-09-08,Indiana 9 @ Lawrence 0,away: Indiana
2024-09-08,Lewis & Clark 1 @ Multnomah Bib 3,home: Multnomah Bib
2024-09-08,Mt Mary 4 @ Andrews 1,home: Andrews
2024-09-08,VA Wesleyan 1 @ UT Dallas 2,home: UT Dallas
2024-09-08,Buena Vista 3 @ Waldorf 1,home: Waldorf
2024-09-08,TX Lutheran 1 @ Sul Ross 3,home: Sul Ross
2024-09-08,ME Presque Isle 1 @ Fisher 0,home: Fisher
2024-09-08,ME Ft Kent 0 @ ME Maritime 0,away: ME Ft Kent
2024-09-09,Defiance 0 @ Bluffton 3,away: Defiance
2024-09-09,Schreiner 0 @ Our Lady Lake 2,home: Our Lady Lake
2024-09-10,Harris-Stowe 2 @ Greenville 1,away: Harris-Stowe
2024-09-10,St Mary's IN 5 @ IN S Bend 0,home: IN S Bend
2024-09-10,Westcliff 0 @ La Verne 0,away: Westcliff
2024-09-10,Williams Bap 2 @ Lyon 1,away: Williams Bap
2024-09-10,Huntington 5 @ Manchester 0,away: Huntington
2024-09-10,Christendom 13 @ Trinity DC 0,away: Christendom
2024-09-11,La Sierra 1 @ Redlands 2,away: La Sierra
2024-09-11,Bluffton 2 @ Cin Clermont 3,home: Cin Clermont
2024-09-11,Wentworth Tech 5 @ Fisher 0,home: Fisher
2024-09-11,Alma 0 @ Lawrence Tech 3,home: Lawrence Tech
2024-09-11,Anderson IN 4 @ Indiana-East 1,home: Indiana-East
2024-09-11,Midway 2 @ Asbury 3,away: Midway
2024-09-11,Olivet MI 0 @ Lourdes 1,home: Lourdes
2024-09-11,Bushnell 0 @ George Fox 3,away: Bushnell
