date,away_team,away_score,home_team,home_score,game_note
2024-08-30,Calvin University,4,Illinois Institute of Technology,0,
2024-08-30,Capital University,1,Hanover College,2,
2024-08-30,Messiah University,0,Carnegie Mellon University,0,O1
2024-08-30,LeTourneau University,0,Carroll University (Wisconsin),4,
2024-08-30,Case Western Reserve University,5,Kenyon College,0,
2024-08-30,University of Chicago,3,Dominican University (Illinois),0,
2024-08-30,Virginia Wesleyan University,0,Christopher Newport University,0,
2024-08-30,Clarkson University,4,State University of New York at Potsdam,0,
2024-08-30,Alfred University,7,Hilbert College,0,
2024-08-30,Washington and Lee University,0,The College of New Jersey,1,
2024-08-30,St. Catherine University,3,University of Wisconsin-Stevens Point,1,
2024-08-30,Augustana College (Illinois),4,Concordia University Chicago,0,
2024-08-30,State University of New York at Brockport,5,Allegheny College,0,
2024-08-30,Crown College (Minnesota),0,Augsburg University,1,
2024-08-30,Curry College,1,Salve Regina University,0,
2024-08-30,Delaware Valley University,0,Ursinus College,4,
2024-08-30,Denison University,0,Otterbein University,1,
2024-08-30,Widener University,2,DeSales University,1,
2024-08-30,Dickinson College,1,Penn State Harrisburg,0,
2024-08-30,Wilson College,1,Eastern Mennonite University,0,
2024-08-30,East Texas Baptist University,0,"University of California, Santa Cruz",3,
2024-08-30,"Rutgers, The State Univ. of New Jersey, Newark",2,Eastern University,3,
2024-08-30,Elmhurst University,2,Lake Forest College,2,
2024-08-30,Ithaca College,6,Elmira College,0,
2024-08-30,Mary Baldwin University,2,Ferrum College,5,
2024-08-30,Framingham State University,0,Roger Williams University,7,
2024-08-30,Franklin College,1,Wilmington College (Ohio),2,
2024-08-30,Geneva College,2,Juniata College,2,
2024-08-30,Greenville University,2,DePauw University,2,
2024-08-30,Grinnell College,0,University of Dubuque,3,
2024-08-30,Washington College (Maryland),3,Grove City College,2,
2024-08-30,Hamline University,1,Whitworth University,4,
2024-08-30,Hobart and William Smith Colleges,8,Plattsburgh State University of New York,0,
2024-08-30,Hood College,0,Bryn Mawr College,0,
2024-08-30,Centre College,1,Hope College,1,
2024-08-30,Lancaster Bible College,4,Houghton University,4,O1
2024-08-30,Mississippi University for Women,0,Huntingdon College,3,
2024-08-30,Johns Hopkins University,2,Pacific Lutheran University,3,
2024-08-30,Babson College,2,Johnson & Wales University (Providence),3,
2024-08-30,Kalamazoo College,0,Carleton College,1,
2024-08-30,Keene State College,3,Rivier University,1,
2024-08-30,University of La Verne,1,Oberlin College,1,
2024-08-30,Concordia University Wisconsin,1,Lawrence University,0,
2024-08-30,Moravian University,1,Lebanon Valley College,0,
2024-08-30,Aurora University,0,Loras College,4,
2024-08-30,"University of Pittsburgh, Greensburg",1,Lycoming College,2,
2024-08-30,Buena Vista University,1,Martin Luther College,1,
2024-08-30,Maryville College (Tennessee),2,Bridgewater College (Virginia),2,
2024-08-30,Susquehanna University,0,Misericordia University,8,
2024-08-30,University of Mount Union,1,Waynesburg University,2,
2024-08-30,Elizabethtown College,2,Muhlenberg College,1,
2024-08-30,Washington and Jefferson College,1,Muskingum University,2,
2024-08-30,Bridgewater State University,2,North Central College,7,
2024-08-30,Macalester College,5,University of Northwestern-St. Paul,0,
2024-08-30,Norwich University,3,VTSU-Johnson,0,
2024-08-30,Ohio Wesleyan University,1,Mount St. Joseph University,0,
2024-08-30,Benedictine University (Illinois),0,North Park University,3,
2024-08-30,University of Redlands,6,University of Wisconsin-Stout,0,
2024-08-30,State University of New York at Cortland,3,Rensselaer Polytechnic Institute,2,
2024-08-30,Russell Sage College,0,State University of New York at New Paltz,1,
2024-08-30,Saint Mary's University of Minnesota,3,"University of Minnesota, Morris",1,
2024-08-30,St. Olaf College,1,Wartburg College,0,
2024-08-30,The College of St. Scholastica,0,University of Wisconsin-River Falls,1,
2024-08-30,Saint Vincent College,1,Marietta College,0,
2024-08-30,Salisbury University,1,"Rutgers, The State Univ. of New Jersey, Camden",1,
2024-08-30,St. John Fisher University,0,Skidmore College,4,
2024-08-30,University of Massachusetts Boston,2,Smith College,0,
2024-08-30,Belhaven University,1,University of St. Thomas (Texas),0,
2024-08-30,State University of New York Polytechnic Institute,2,State University of New York at Canton,0,
2024-08-30,Farmingdale State College,1,Western New England University,2,
2024-08-30,Hartwick College,1,State University of New York at Oneonta,1,
2024-08-30,Thiel College,0,La Roche University,3,
2024-08-30,Washington University in St. Louis,8,Trine University,1,
2024-08-30,Worcester Polytechnic Institute,1,Union College (New York),0,
2024-08-30,University of New England,5,Saint Joseph's College (Maine),0,
2024-08-30,Utica University,7,State University of New York at Morrisville,0,
2024-08-30,Fitchburg State University,0,Brandeis University,7,
2024-08-30,Wentworth Institute of Technology,1,Lesley University,2,
2024-08-30,Wheaton College (Illinois),3,Milwaukee School of Engineering,6,
2024-08-30,Centenary University (New Jersey),0,William Paterson University of New Jersey,4,
2024-08-30,Meredith College,3,Wisconsin Lutheran College,2,
2024-08-30,College of Saint Benedict,0,University of Wisconsin-Eau Claire,2,
2024-08-30,University of Wisconsin-Superior,0,University of Wisconsin-La Crosse,5,
2024-08-30,Central College (Iowa),3,University of Wisconsin-Whitewater,0,
2024-08-30,Penn State Berks College,1,York College (Pennsylvania),2,
2024-08-30,Keuka College,0,"Buffalo State, State University of New York",3,
2024-08-30,Albertus Magnus College,2,Nichols College,2,
2024-08-30,University of Mount Saint Vincent,6,The City College of New York,0,
2024-08-30,Massachusetts College of Liberal Arts,1,Dean College,2,
2024-08-30,Drew University,1,Manhattanville University,0,
2024-08-30,Monmouth College (Illinois),1,Edgewood University,1,O1
2024-08-30,Husson University,3,Emmanuel College (Massachusetts),5,
2024-08-30,Ramapo College,0,"Fairleigh Dickinson University, Florham",1,
2024-08-30,Franklin & Marshall College,0,Catholic University,1,
2024-08-30,Haverford College,2,Arcadia University,1,
2024-08-30,Gettysburg College,0,Emerson College,1,
2024-08-30,Massachusetts Institute of Technology,3,Gordon College,0,
2024-08-30,Texas Lutheran University,1,Hardin-Simmons University,2,
2024-08-30,Kean University,0,University of Scranton,2,
2024-08-30,King's College (Pennsylvania),1,Stevenson University,1,
2024-08-30,Marian University (Wisconsin),2,Carthage College,3,
2024-08-30,Willamette University,0,Austin College,1,
2024-08-30,Randolph-Macon College,1,University of Mary Washington,2,
2024-08-30,Shenandoah University,3,Marymount University (Virginia),2,
2024-08-30,"University of Massachusetts, Dartmouth",1,Regis College (Massachusetts),4,
2024-08-30,McDaniel College,4,Goucher College,0,
2024-08-30,Swarthmore College,1,Montclair State University,1,
2024-08-30,Nazareth University,2,Mount Saint Mary College (New York),0,
2024-08-30,Neumann University,2,"Penn State University, Abington",1,
2024-08-30,Plymouth State University,7,New England College,0,
2024-08-30,"Penn State University, Altoona",0,Pennsylvania College of Technology,0,
2024-08-30,Salem State University,0,Rhode Island College,1,
2024-08-30,Stockton University,0,University of Lynchburg,0,
2024-08-30,St. Mary's College of Maryland,4,Greensboro College,1,
2024-08-30,University of Southern Maine,10,Maine Maritime Academy,2,
2024-08-30,Anna Maria College,0,Springfield College,5,
2024-08-30,Elms College,0,Vassar College,8,
2024-08-30,Wesleyan College (Georgia),0,Oglethorpe University,11,
2024-08-30,Westfield State University,0,Sewanee,0,O2
2024-08-30,University of Wisconsin-Oshkosh,2,Gustavus Adolphus College,2,
2024-08-30,Simpson College,2,Illinois Wesleyan University,0,
2024-08-30,Bryn Athyn College,1,Immaculata University,2,
2024-08-30,California Institute of Technology,0,Whitman College,2,
2024-08-30,State University of New York Maritime College,1,Brooklyn College,0,
2024-08-30,Pomona-Pitzer Colleges,0,New York University,0,
2024-08-30,Rochester Institute of Technology,2,Stevens Institute of Technology,1,
