date,away_team,away_score,home_team,home_score,game_note
2025-08-21,Northwest WA,1,Puget Sound,0,
2025-08-21,Evergreen St,0,Pacific OR,1,
2025-08-22,Bob Jones,0,Furman,5,
2025-08-22,Ark Pine Bluff,2,Lyon,0,
2025-08-23,Pacific OR,3,Corban,0,
2025-08-23,Bellarmine,11,Asbury,0,
2025-08-23,Arizona Chr,2,Caltech,0,
2025-08-24,Northwest WA,0,Pacific OR,1,
2025-08-24,Mt St Joseph,0,N Kentucky,6,
2025-08-25,Spartanburg Meth,0,Bob Jones,0,
2025-08-25,Arizona Chr,0,La Verne,2,
2025-08-25,Huston-Tillot,0,SW Univ TX,6,
2025-08-26,Lewis & Clark,1,Corban,2,
2025-08-26,Marywood,0,Navy,3,
2025-08-26,Midway,2,Berea,2,
2025-08-28,Willamette,1,Bushnell,4,
2025-08-28,Life Pacific,3,Caltech,0,
2025-08-29,SUNY Fredonia,0,Cal Lutheran,1,
2025-08-29,Wartburg,0,Calvin,2,
2025-08-29,Capital,4,Allegheny,1,
2025-08-29,Carroll WI,0,WI LaCrosse,7,
2025-08-29,Carthage,0,Macalester,1,
2025-08-29,Franciscan OH,0,Case Western,7,
2025-08-29,Castleton,1,Plattsburgh St,2,
2025-08-29,Centenary,0,Belhaven MS,5,
2025-08-29,Covenant,1,Centre,3,
2025-08-29,Chapman,2,Pacific OR,1,
2025-08-29,Bluffton,1,Albion,8,
2025-08-29,E Texas Bap,0,Chicago,6,
2025-08-29,PSU-Abington,0,Albright,0,
2025-08-29,Merchant Marine,0,Chris Newport,3,
2025-08-29,Hartford,2,Clarkson,2,
2025-08-29,Westfield St,1,Colby-Sawyer,1,
2025-08-29,Penn Col Tech,3,Alfred,0,
2025-08-29,Salisbury,1,College of NJ,4,
2025-08-29,St Catherine,3,WI Stevens Pt,0,
2025-08-29,Elmhurst,4,Concordia IL,0,
2025-08-29,Cortland St,0,Rochester NY,2,
2025-08-29,Bob Jones,0,Meredith,0,
2025-08-29,Crown MN,0,WI River Falls,3,
2025-08-29,Alma,3,Earlham,0,
2025-08-29,Bryn Mawr,1,Delaware Val,0,
2025-08-29,DePauw,3,Manchester,1,
2025-08-29,Dickinson,0,PSU-Harrisburg,0,
2025-08-29,Wheaton IL,1,Dominican IL,0,
2025-08-29,E Mennonite,0,Greensboro,3,
2025-08-29,Edgewood,0,Central IA,1,
2025-08-29,Elizabethtown,3,Muhlenberg,1,
2025-08-29,Frank & Marsh,2,Catholic,0,
2025-08-29,Geneva,1,Juniata,0,
2025-08-29,Gettysburg,2,Hood,1,
2025-08-29,Grinnell,0,Dubuque,0,
2025-08-29,Grove City,2,Rochester Tech,2,
2025-08-29,Mary Baldwin,0,Guilford,2,
2025-08-29,Hamline,0,WI Stout,1,
2025-08-29,Trine,2,Hanover,0,
2025-08-29,Hardin-Simmons,7,Dallas Univ,1,
2025-08-29,Heidelberg,1,Geneseo St,1,
2025-08-29,Hendrix,0,Williams Bap,1,
2025-08-29,Hiram,1,Adrian,3,
2025-08-29,Milwaukee Eng,0,Hope,3,
2025-08-29,Husson,1,Emerson,4,
2025-08-29,Principia,0,Illinois Col,1,
2025-08-29,Elmira,0,Ithaca,2,
2025-08-29,Johnson TN,0,Asbury,0,
2025-08-29,King's PA,1,Kean,2,
2025-08-29,Knox,0,Millikin,4,
2025-08-29,CS San Bern.,2,La Verne,0,
2025-08-29,Lake Forest,4,Greenville,1,
2025-08-29,Concordia WI,2,Lawrence,2,
2025-08-29,Moravian,0,Lebanon Val,1,
2025-08-29,WI Oshkosh,1,Lewis & Clark,1,
2025-08-29,WI Platteville,2,Augsburg,0,
2025-08-29,Lycoming,2,Utica,1,
2025-08-29,Lyon,7,Arlington Bap,1,
2025-08-29,Augustana IL,0,Marian WI,1,
2025-08-29,Wittenberg,0,Marietta,0,
2025-08-29,Buena Vista,2,Martin Luther,0,
2025-08-29,Concordia TX,0,M Hardin-Baylor,1,
2025-08-29,Randolph-Macon,0,Mary Washington,5,
2025-08-29,Farmingdale,3,Maryville TN,0,
2025-08-29,Regis MA,1,MA Dartmouth,1,
2025-08-29,Averett,2,Pfeiffer,0,
2025-08-29,McDaniel,4,Goucher,0,
2025-08-29,Susquehanna,0,Misericordia,2,
2025-08-29,Wash & Jeff,2,Muskingum,0,
2025-08-29,Endicott,0,Nazareth,2,
2025-08-29,N England Col,1,Anna Maria,0,
