date,away_team,away_score,home_team,home_score,game_note
2025-08-29,California Lutheran University,0,The State University of New York at Fredonia,0,Sch
2025-08-29,Calvin University,0,Wartburg College,0,Sch
2025-08-29,Allegheny College,0,Capital University,0,Sch
2025-08-29,University of Wisconsin-La Crosse,0,Carroll University (Wisconsin),0,Sch
2025-08-29,Macalester College,0,Carthage College,0,Sch
2025-08-29,Case Western Reserve University,0,Franciscan University of Steubenville,0,Sch
2025-08-29,Plattsburgh State University of New York,0,Vermont State University Castleton,0,Sch
2025-08-29,Belhaven University,0,Centenary College (Louisiana),0,Sch
2025-08-29,Centre College,0,Covenant College,0,Sch
2025-08-29,Pacific University (Oregon),0,Chapman University,0,Sch
2025-08-29,Albion College,0,Bluffton University,0,Sch
2025-08-29,East Texas Baptist University,0,University of Chicago,0,Sch
2025-08-29,Colby-Sawyer College,0,Westfield State University,0,Sch
2025-08-29,Salisbury University,0,The College of New Jersey,0,Sch
2025-08-29,University of Wisconsin-Stevens Point,0,St. Catherine University,0,Sch
2025-08-29,Concordia University Chicago,0,Elmhurst University,0,Sch
2025-08-29,University of Rochester,0,State University of New York at Cortland,0,Sch
2025-08-29,University of Wisconsin-River Falls,0,Crown College (Minnesota),0,Sch
2025-08-29,Earlham College,0,Alma College,0,Sch
2025-08-29,Delaware Valley University,0,Bryn Mawr College,0,Sch
2025-08-29,Manchester University,0,DePauw University,0,Sch
2025-08-29,Penn State Harrisburg,0,Dickinson College,0,Sch
2025-08-29,Dominican University (Illinois),0,Wheaton College (Illinois),0,Sch
2025-08-29,Greensboro College,0,Eastern Mennonite University,0,Sch
2025-08-29,Central College (Iowa),0,Edgewood University,0,Sch
2025-08-29,Muhlenberg College,0,Elizabethtown College,0,Sch
2025-08-29,Catholic University,0,Franklin & Marshall College,0,Sch
2025-08-29,Juniata College,0,Geneva College,0,Sch
2025-08-29,Hood College,0,Gettysburg College,0,Sch
2025-08-29,Rochester Institute of Technology,0,Grove City College,0,Sch
2025-08-29,Guilford College,0,Mary Baldwin University,0,Sch
2025-08-29,University of Wisconsin-Stout,0,Hamline University,0,Sch
2025-08-29,University of Dallas,0,Hardin-Simmons University,0,Sch
2025-08-29,State University of New York at Geneseo,0,Heidelberg University,0,Sch
2025-08-29,Adrian College,0,Hiram College,0,Sch
2025-08-29,Hope College,0,Milwaukee School of Engineering,0,Sch
2025-08-29,Illinois College,0,Principia College,0,Sch
2025-08-29,Johnson & Wales University (Providence),0,Babson College,0,Sch
2025-08-29,King's College (Pennsylvania),0,Kean University,0,Sch
2025-08-29,Millikin University,0,Knox College,0,Sch
2025-08-29,Greenville University,0,Lake Forest College,0,Sch
2025-08-29,Lebanon Valley College,0,Moravian University,0,Sch
2025-08-29,Lewis & Clark College,0,University of Wisconsin-Oshkosh,0,Sch
2025-08-29,Augsburg University,0,University of Wisconsin-Platteville,0,Sch
2025-08-29,Utica University,0,Lycoming College,0,Sch
2025-08-29,Marietta College,0,Wittenberg University,0,Sch
2025-08-29,Martin Luther College,0,Buena Vista University,0,Sch
2025-08-29,University of Mary Hardin-Baylor,0,Concordia University Texas,0,Sch
2025-08-29,University of Mary Washington,0,Randolph-Macon College,0,Sch
2025-08-29,Maryville College (Tennessee),0,Farmingdale State College,0,Sch
2025-08-29,Pfeiffer University,0,Averett University,0,Sch
2025-08-29,Goucher College,0,McDaniel College,0,Sch
2025-08-29,Misericordia University,0,Susquehanna University,0,Sch
2025-08-29,Muskingum University,0,Washington and Jefferson College,0,Sch
2025-08-29,Nazareth University,0,Endicott College,0,Sch
2025-08-29,Anna Maria College,0,New England College,0,Sch
2025-08-29,Pomona-Pitzer Colleges,0,North Central College,0,Sch
2025-08-29,Penn State Berks College,0,Ursinus College,0,Sch
2025-08-29,North Park University,0,Benedictine University (Illinois),0,Sch
2025-08-29,Agnes Scott College,0,Berry College,0,Sch
2025-08-29,Wisconsin Lutheran College,0,Ripon College,0,Sch
2025-08-29,Rockford University,0,The University of Olivet,0,Sch
2025-08-29,"Rutgers, The State Univ. of New Jersey, Camden",0,Stevenson University,0,Sch
