date,away_team,away_score,home_team,home_score,game_note
2025-08-29,Johnson & Wales University Charlotte,0,Salem College (North Carolina),0,"Sch, p"
2025-08-30,Regent University,0,Piedmont University,0,"Sch, p"
2025-08-30,Thiel College,0,Carlow University,0,"Sch, p"
2025-09-03,Sweet Briar College,0,Regent University,0,"Sch, p"
2025-09-05,Carlow University,0,Westminster College (Pennsylvania),0,"Sch, p"
2025-09-05,Eastern Mennonite University,0,Johnson & Wales University Charlotte,0,"Sch, p"
2025-09-06,Mary Baldwin University,0,Regent University,0,"Sch, p"
2025-09-06,Penn State Brandywine,0,Gwynedd Mercy University,0,"Sch, p"
2025-09-07,Hollins University,0,Johnson & Wales University Charlotte,0,"Sch, p"
2025-09-09,University of Valley Forge,0,Penn State Brandywine,0,"Sch, p"
2025-09-10,Greensboro College,0,Johnson & Wales University Charlotte,0,"Sch, p"
2025-09-10,Agnes Scott College,0,Regent University,0,"Sch, p"
2025-09-10,Chatham University,0,Carlow University,0,"Sch, p"
2025-09-11,Wesleyan College (Georgia),0,Regent University,0,"Sch, p"
2025-09-12,Hiram College,0,Carlow University,0,"Sch, p"
2025-09-13,Randolph College,0,Regent University,0,"Sch, p"
2025-09-13,Penn State Brandywine,0,Medgar Evers College,0,"Sch, p"
2025-09-14,North Carolina Wesleyan University,0,Johnson & Wales University Charlotte,0,"Sch, p"
2025-09-16,Waynesburg University,0,Carlow University,0,"Sch, p"
2025-09-16,Brooklyn College,0,Penn State Brandywine,0,"Sch, p"
2025-09-17,Regent University,0,William Peace University,0,"Sch, p"
2025-09-17,Johnson & Wales University Charlotte,0,Pfeiffer University,0,"Sch, p"
2025-09-20,Allegheny College,0,Carlow University,0,"Sch, p"
2025-09-20,Regent University,0,Greensboro College,0,"Sch, p"
2025-09-20,Penn State Brandywine,0,John Jay College of Criminal Justice,0,"Sch, p"
2025-09-20,Johnson & Wales University Charlotte,0,Berry College,0,"Sch, p"
2025-09-22,Johnson & Wales University Charlotte,0,Guilford College,0,"Sch, p"
2025-09-24,Penn State Brandywine,0,Trinity Washington University,0,"Sch, p"
2025-09-27,Carlow University,0,Alfred State College,0,"Sch, p"
2025-09-27,Regent University,0,Johnson & Wales University Charlotte,0,"Sch, p"
2025-09-27,Penn State Brandywine,0,Cedar Crest College,0,"Sch, p"
2025-09-30,La Roche University,0,Carlow University,0,"Sch, p"
2025-09-30,Johnson & Wales University Charlotte,0,William Peace University,0,"Sch, p"
2025-10-01,Warren Wilson College,0,Regent University,0,"Sch, p"
2025-10-01,St. Mary's College of Maryland,0,Penn State Brandywine,0,"Sch, p"
2025-10-03,Johnson & Wales University Charlotte,0,Trinity Washington University,0,"Sch, p"
2025-10-04,Eastern Mennonite University,0,Regent University,0,"Sch, p"
2025-10-04,Penn State Brandywine,0,Penn State Berks College,0,"Sch, p"
2025-10-04,Hilbert College,0,Carlow University,0,"Sch, p"
2025-10-05,Piedmont University,0,Johnson & Wales University Charlotte,0,"Sch, p"
2025-10-07,Keystone College,0,Penn State Brandywine,0,"Sch, p"
2025-10-08,Hollins University,0,Regent University,0,"Sch, p"
2025-10-08,"University of Pittsburgh, Greensburg",0,Carlow University,0,"Sch, p"
2025-10-11,Regent University,0,Salisbury University,0,"Sch, p"
2025-10-12,University of Scranton,0,Carlow University,0,"Sch, p"
2025-10-13,Regent University,0,North Carolina Wesleyan University,0,"Sch, p"
2025-10-14,Carlow University,0,Mount Aloysius College,0,"Sch, p"
2025-10-15,Penn State Brandywine,0,Wilson College,0,"Sch, p"
2025-10-15,Johnson & Wales University Charlotte,0,Meredith College,0,"Sch, p"
2025-10-18,"University of Pittsburgh, Bradford",0,Carlow University,0,"Sch, p"
2025-10-18,Penn State Brandywine,0,Pennsylvania College of Technology,0,"Sch, p"
2025-10-19,University of Mary Washington,0,Regent University,0,"Sch, p"
2025-10-21,Brevard College,0,Johnson & Wales University Charlotte,0,"Sch, p"
2025-10-21,Lancaster Bible College,0,Penn State Brandywine,0,"Sch, p"
2025-10-22,Southern Virginia University,0,Regent University,0,"Sch, p"
2025-10-22,"Penn State University, Altoona",0,Carlow University,0,"Sch, p"
2025-10-25,Carlow University,0,"Pennsylvania State Univ. Erie, the Behrend College",0,"Sch, p"
2025-10-25,Notre Dame of Maryland University,0,Penn State Brandywine,0,"Sch, p"
2025-10-31,Johnson & Wales University Charlotte,0,Warren Wilson College,0,"Sch, p"
