date,away_team,away_score,home_team,home_score,game_note
2025-08-29,The State University of New York at Fredonia,0,California Lutheran University,1,
2025-08-29,Wartburg College,0,Calvin University,0,Sch
2025-08-29,Capital University,0,Allegheny College,0,Sch
2025-08-29,Carroll University (Wisconsin),0,University of Wisconsin-La Crosse,7,
2025-08-29,Carthage College,0,Macalester College,1,
2025-08-29,Franciscan University of Steubenville,0,Case Western Reserve University,7,
2025-08-29,Vermont State University Castleton,0,Plattsburgh State University of New York,0,Sch
2025-08-29,Centenary College (Louisiana),0,Belhaven University,5,
2025-08-29,Covenant College,1,Centre College,3,
2025-08-29,Chapman University,2,Pacific University (Oregon),1,
2025-08-29,Bluffton University,0,Albion College,0,Sch
2025-08-29,East Texas Baptist University,0,University of Chicago,0,Sch
2025-08-29,Westfield State University,1,Colby-Sawyer College,1,
2025-08-29,Salisbury University,0,The College of New Jersey,0,Sch
2025-08-29,St. Catherine University,3,University of Wisconsin-Stevens Point,0,
2025-08-29,Elmhurst University,4,Concordia University Chicago,0,
2025-08-29,State University of New York at Cortland,0,University of Rochester,0,Sch
2025-08-29,Crown College (Minnesota),0,University of Wisconsin-River Falls,3,
2025-08-29,Alma College,3,Earlham College,0,
2025-08-29,Bryn Mawr College,1,Delaware Valley University,0,
2025-08-29,DePauw University,0,Manchester University,0,Sch
2025-08-29,Wheaton College (Illinois),0,Dominican University (Illinois),0,Sch
2025-08-29,Eastern Mennonite University,0,Greensboro College,3,
2025-08-29,Edgewood University,0,Central College (Iowa),1,
2025-08-29,Elizabethtown College,0,Muhlenberg College,0,Sch
2025-08-29,Franklin & Marshall College,2,Catholic University,0,
2025-08-29,Geneva College,1,Juniata College,0,
2025-08-29,Gettysburg College,2,Hood College,1,
2025-08-29,Grove City College,2,Rochester Institute of Technology,2,
2025-08-29,Mary Baldwin University,0,Guilford College,2,
2025-08-29,Hamline University,0,University of Wisconsin-Stout,0,Sch
2025-08-29,Hardin-Simmons University,7,University of Dallas,1,
2025-08-29,Heidelberg University,1,State University of New York at Geneseo,1,
2025-08-29,Hiram College,1,Adrian College,3,
2025-08-29,Milwaukee School of Engineering,0,Hope College,3,
2025-08-29,Principia College,0,Illinois College,1,
2025-08-29,King's College (Pennsylvania),0,Kean University,0,Sch
2025-08-29,Knox College,0,Millikin University,0,Sch
2025-08-29,Lake Forest College,4,Greenville University,1,
2025-08-29,Moravian University,0,Lebanon Valley College,1,
2025-08-29,University of Wisconsin-Oshkosh,0,Lewis & Clark College,0,Sch
2025-08-29,University of Wisconsin-Platteville,2,Augsburg University,0,
2025-08-29,Lycoming College,2,Utica University,1,
2025-08-29,Wittenberg University,0,Marietta College,0,Sch
2025-08-29,Buena Vista University,2,Martin Luther College,0,
2025-08-29,Concordia University Texas,0,University of Mary Hardin-Baylor,1,
2025-08-29,Randolph-Macon College,0,University of Mary Washington,0,Sch
2025-08-29,Farmingdale State College,3,Maryville College (Tennessee),0,
2025-08-29,Averett University,0,Pfeiffer University,0,Sch
2025-08-29,Susquehanna University,0,Misericordia University,2,
2025-08-29,Washington and Jefferson College,2,Muskingum University,0,
2025-08-29,Endicott College,0,Nazareth University,2,
2025-08-29,North Central College,0,Pomona-Pitzer Colleges,3,
2025-08-29,Ursinus College,0,Penn State Berks College,0,Sch
2025-08-29,Benedictine University (Illinois),1,North Park University,5,
2025-08-29,Berry College,4,Agnes Scott College,0,
2025-08-29,Ripon College,1,Wisconsin Lutheran College,2,
2025-08-29,The University of Olivet,2,Rockford University,1,
2025-08-29,Stevenson University,4,"Rutgers, The State Univ. of New Jersey, Camden",1,
2025-08-29,"Rutgers, The State Univ. of New Jersey, Newark",0,Bard College,1,
2025-08-29,University of Northwestern-St. Paul,2,Bethel University (Minnesota),2,
2025-08-29,St. Lawrence University,0,State University of New York at Potsdam,0,
2025-08-29,University of Wisconsin-Eau Claire,0,St. Olaf College,4,
2025-08-29,Loras College,0,The College of St. Scholastica,0,
2025-08-29,"University of Pittsburgh, Greensburg",0,Saint Vincent College,4,
2025-08-29,Spalding University,1,Sewanee,3,
2025-08-29,Shenandoah University,0,Marymount University (Virginia),1,
2025-08-29,State University of New York at Brockport,1,Skidmore College,1,
2025-08-29,State University of New York at Delhi,0,New Jersey City University,2,
2025-08-29,State University of New York at Canton,0,Houghton University,6,
2025-08-29,Hartwick College,0,State University of New York at Oneonta,0,
2025-08-29,Transylvania University,0,Swarthmore College,3,
2025-08-29,Howard Payne University,5,University of the Ozarks (Arkansas),1,
2025-08-29,Bridgewater State University,1,Brandeis University,5,
2025-08-29,Westminster College (Missouri),0,Washington University in St. Louis,8,
2025-08-29,Whitworth University,0,Whittier College,1,
2025-08-29,Centenary University (New Jersey),0,William Paterson University of New Jersey,3,
2025-08-29,Washington and Lee University,3,York College (Pennsylvania),0,
2025-08-29,University of Massachusetts Boston,1,Smith College,0,
2025-08-29,"St. Joseph's University, New York L.I.",1,Eastern Connecticut State University,1,
2025-08-29,Piedmont University,12,Trinity Washington University,0,
2025-08-29,Suffolk University,1,Rensselaer Polytechnic Institute,0,
2025-08-29,Salem State University,1,Rhode Island College,0,
2025-08-29,Haverford College,0,Arcadia University,1,
2025-08-29,Gwynedd Mercy University,4,University of Valley Forge,0,
2025-08-29,Marywood University,4,State University of New York Polytechnic Institute,0,
2025-08-29,"Penn State University, Altoona",3,Wilson College,3,
2025-08-29,College of Saint Benedict,0,Virginia Wesleyan University,3,
2025-08-29,Albertus Magnus College,4,Nichols College,0,
2025-08-29,State University of New York at Cobleskill,2,"University of Pittsburgh, Bradford",3,
2025-08-29,Linfield University,0,"University of California, Santa Cruz",0,
2025-08-29,Hobart and William Smith Colleges,8,DeSales University,1,
2025-08-29,New York University,6,Mount Saint Mary College (New York),0,
2025-08-29,Manhattanville University,0,Drew University,3,
2025-08-29,University of St. Thomas (Texas),1,Pacific Lutheran University,1,
2025-08-29,University of Puget Sound,2,Southwestern University (Texas),0,
2025-08-29,Washington College (Maryland),1,Widener University,0,
2025-08-29,Ohio Wesleyan University,0,Mount St. Joseph University,2,
2025-08-29,Bridgewater College (Virginia),1,Carnegie Mellon University,0,
2025-08-30,Milwaukee School of Engineering,1,Calvin University,3,
2025-08-30,Coe College,0,Augsburg University,2,
2025-08-30,Husson University,5,Colby-Sawyer College,0,
2025-08-30,Chatham University,0,Alfred University,2,
2025-08-30,The College of New Jersey,0,St. Mary's College of Maryland,0,
2025-08-30,St. Norbert College,0,St. Catherine University,1,
2025-08-30,North Central University,1,Cornell College,6,
2025-08-30,Alma College,0,The College of Wooster,3,
2025-08-30,Denison University,0,University of Lynchburg,1,
2025-08-30,Eastern Mennonite University,0,Methodist University,0,
2025-08-30,Edgewood University,1,Grinnell College,0,
2025-08-30,Baldwin Wallace University,0,Geneva College,0,
2025-08-30,Grove City College,0,Nazareth University,2,
2025-08-30,State University of New York at Canton,0,Hilbert College,3,
2025-08-30,Wartburg College,0,Hope College,3,
2025-08-30,Otterbein University,0,John Carroll University,0,Sch
2025-08-30,State University of New York at Old Westbury,0,John Jay College of Criminal Justice,2,
2025-08-30,Johns Hopkins University,1,Carleton College,1,
2025-08-30,Westminster College (Pennsylvania),0,Juniata College,1,
2025-08-30,Kean University,0,University of Scranton,4,
2025-08-30,Keene State College,4,Rivier University,2,
2025-08-30,King's College (Pennsylvania),0,Stockton University,3,
2025-08-30,Lake Forest College,6,Webster University,1,
2025-08-30,Lycoming College,8,"Buffalo State, State University of New York",3,
2025-08-30,Wheaton College (Illinois),2,Aurora University,0,
2025-08-30,Bridgewater College (Virginia),2,Marietta College,0,
2025-08-30,Spalding University,0,Maryville College (Tennessee),1,
2025-08-30,McMurry University,1,Millsaps College,0,
2025-08-30,Mississippi University for Women,1,University of the Ozarks (Arkansas),2,
2025-08-30,Waynesburg University,4,Mount Aloysius College,0,
2025-08-30,U.S. Coast Guard Academy,2,Muhlenberg College,4,
2025-08-30,University of Maine at Presque Isle,0,New England College,3,
2025-08-30,Wilkes University,1,State University of New York at Oswego,3,
2025-08-30,Berry College,4,LaGrange College,0,
2025-08-30,Rhodes College,3,Roanoke College,1,
2025-08-30,St. John Fisher University,0,Catholic University,1,
2025-08-30,State University of New York at Brockport,3,State University of New York at Oneonta,0,
2025-08-30,Plymouth State University,3,Thomas College,0,
2025-08-30,Sarah Lawrence College,0,Vassar College,2,
2025-08-30,Kenyon College,2,Bethany College (West Virginia),0,
2025-08-30,Clark University (Massachusetts),6,Nichols College,0,
2025-08-30,Emmanuel College (Massachusetts),5,Western Connecticut State University,0,
2025-08-30,State University of New York at Morrisville,3,State University of New York Polytechnic Institute,3,
2025-08-30,Simmons University,0,Wellesley College,5,
2025-08-30,Keystone College,0,Alfred State College,13,
2025-08-30,Beloit College,0,Kalamazoo College,4,
2025-08-30,"Penn State University, Abington",0,Eastern University,2,
2025-08-30,Endicott College,1,Rochester Institute of Technology,2,
2025-08-30,Wittenberg University,0,Carnegie Mellon University,3,
2025-08-30,Worcester Polytechnic Institute,2,Western New England University,0,
2025-08-30,Lancaster Bible College,0,Houghton University,4,
2025-08-30,Massachusetts Institute of Technology,2,Gordon College,0,
2025-08-31,Whitworth University,1,California Lutheran University,1,
2025-08-31,Carthage College,1,Carleton College,5,
2025-08-31,Allegheny College,0,Case Western Reserve University,6,
2025-08-31,Chapman University,3,Lewis & Clark College,0,
2025-08-31,University of Chicago,1,"University of California, Santa Cruz",0,
2025-08-31,Smith College,0,Clarkson University,0,Sch
2025-08-31,Coe College,2,Hamline University,3,
2025-08-31,Pennsylvania College of Technology,2,Alfred State College,0,
2025-08-31,University of Wisconsin-Stevens Point,2,Concordia University Chicago,0,
2025-08-31,Arcadia University,0,State University of New York at Cortland,1,
2025-08-31,Immaculata University,1,Alvernia University,1,
2025-08-31,Rhode Island College,3,Dean College,0,
2025-08-31,Delaware Valley University,0,Ursinus College,5,
2025-08-31,Denison University,2,Roanoke College,0,
2025-08-31,Earlham College,0,The College of Wooster,3,
2025-08-31,East Texas Baptist University,2,Linfield University,2,
2025-08-31,Elmhurst University,10,Rockford University,0,
2025-08-31,Wilmington College (Ohio),0,Hanover College,6,
2025-08-31,Heidelberg University,0,Ithaca College,1,
2025-08-31,Mississippi University for Women,0,Hendrix College,3,
2025-08-31,State University of New York at New Paltz,0,Hobart and William Smith Colleges,3,
2025-08-31,Illinois College,5,Nebraska Wesleyan University,4,
2025-08-31,Johns Hopkins University,3,St. Olaf College,0,
2025-08-31,Johnson & Wales University (Providence),1,Montclair State University,1,
2025-08-31,Kenyon College,2,Baldwin Wallace University,0,
2025-08-31,Lawrence University,5,Lakeland University,0,
2025-08-31,Marian University (Wisconsin),5,Ripon College,0,
2025-08-31,Wisconsin Lutheran College,4,Martin Luther College,0,
2025-08-31,University of Puget Sound,1,University of Mary Hardin-Baylor,1,
2025-08-31,Ohio Wesleyan University,1,Adrian College,0,
2025-08-31,"Rutgers, The State Univ. of New Jersey, Camden",0,McDaniel College,0,
2025-08-31,Otterbein University,0,Messiah University,1,
2025-08-31,Misericordia University,2,Washington College (Maryland),0,
2025-08-31,Saint Vincent College,3,Muskingum University,0,
2025-08-31,North Central College,2,University of Redlands,0,
2025-08-31,North Park University,0,Illinois Institute of Technology,3,
2025-08-31,The State University of New York at Fredonia,2,Occidental College,3,
2025-08-31,Agnes Scott College,1,Oglethorpe University,4,
2025-08-31,Pacific Lutheran University,1,Trinity University (Texas),1,
2025-08-31,Penn State Berks College,0,York College (Pennsylvania),4,
2025-08-31,Plattsburgh State University of New York,0,Rensselaer Polytechnic Institute,1,
2025-08-31,Rhodes College,0,University of Lynchburg,0,
2025-08-31,Ohio Northern University,1,Rose-Hulman Institute of Technology,0,
2025-08-31,"Rutgers, The State Univ. of New Jersey, Newark",2,State University of New York at Delhi,1,
2025-08-31,University of Hartford,1,St. Lawrence University,0,
2025-08-31,Luther College,1,The College of St. Scholastica,0,
2025-08-31,Neumann University,0,Salisbury University,4,
2025-08-31,Farmingdale State College,0,Sewanee,4,
2025-08-31,Haverford College,1,Susquehanna University,0,
2025-08-31,Washington and Lee University,0,Swarthmore College,1,
2025-08-31,Worcester State University,2,University of New England,1,
2025-08-31,Vassar College,4,Mount Saint Mary College (New York),0,
2025-08-31,U.S. Merchant Marine Academy,0,Virginia Wesleyan University,4,
2025-08-31,Albertus Magnus College,1,Wentworth Institute of Technology,2,
2025-08-31,George Fox University,0,Whittier College,1,
2025-08-31,University of Wisconsin-Oshkosh,1,Willamette University,0,
2025-08-31,University of Wisconsin-Eau Claire,1,Central College (Iowa),2,
2025-08-31,St. Norbert College,1,University of Wisconsin-River Falls,4,
2025-08-31,Gustavus Adolphus College,1,University of Wisconsin-Stout,1,
2025-08-31,Yeshiva University,1,Mitchell College,9,
2025-08-31,New Jersey City University,3,Bard College,1,
2025-08-31,Penn State Harrisburg,0,University of Mary Washington,1,
