team,wins,losses,ties,games,win_pct,owp,oowp,qualifying_wins,qualifying_losses,qualifying_ties,partial_wins,npi_rating
Amherst College,1,0,0,1,1.0,100.0,100.0,1,0,0,0,66.9170169304745
Suffolk University,2,0,0,2,1.0,87.5,67.5,2,0,0,0,64.34731381503224
Franklin & Marshall College,2,0,0,2,1.0,66.66666666666666,100.0,2,0,0,0,64.13949001811952
Mount St. Joseph University,1,0,0,1,1.0,100.0,66.66666666666666,1,0,0,0,64.06545624659556
Trine University,2,0,0,2,1.0,100.0,72.91666666666667,2,0,0,0,63.5031751886065
Bridgewater College (Virginia),3,0,0,3,1.0,75.0,94.44444444444446,3,0,0,0,63.41391786512683
University of Scranton,2,0,0,2,1.0,87.5,62.5,2,0,0,0,62.622473689142126
Worcester State University,2,0,0,2,1.0,100.0,50.0,2,0,0,0,62.26988441474937
Eastern University,1,0,0,1,1.0,100.0,50.0,1,0,0,0,62.261381951042615
Massachusetts Institute of Technology,2,0,0,2,1.0,100.0,75.0,2,0,0,0,62.19218474975546
Emory University,1,0,0,1,1.0,100.0,0.0,1,0,0,0,61.48155304931818
Connecticut College,1,0,0,1,1.0,100.0,50.0,1,0,0,0,60.76659690506308
Salem State University,2,0,0,2,1.0,75.0,50.0,2,0,0,0,60.15144939643281
State University of New York Maritime College,1,0,0,1,1.0,100.0,50.0,1,0,0,0,60.0
McMurry University,1,0,0,1,1.0,100.0,50.0,1,0,0,0,60.0
Middlebury College,1,0,0,1,1.0,100.0,0.0,1,0,0,0,59.874755690336144
University of Hartford,1,0,1,2,0.75,100.0,58.33333333333333,1,0,1,0,59.680018788677664
Waynesburg University,3,0,0,3,1.0,83.33333333333334,66.66666666666666,3,0,0,0,59.66281809266703
Greensboro College,1,0,0,1,1.0,50.0,50.0,1,0,0,0,59.523970807354786
Messiah University,3,0,0,3,1.0,66.66666666666666,88.88888888888887,3,0,0,0,59.459077912562236
Bates College,1,0,0,1,1.0,50.0,75.0,1,0,0,0,58.70934523552387
University of Wisconsin-La Crosse,2,0,0,2,1.0,50.0,95.0,2,0,0,0,58.646333919597375
Clarkson University,1,0,1,2,0.75,66.66666666666666,68.75,1,0,1,0,58.59541254552489
Whittier College,2,0,0,2,1.0,50.0,100.0,2,0,0,0,58.553282757963586
