massey_name	ncaa_name	provisional_membership
Adrian	Adrian College	
Agnes Scott	Agnes Scott College	
Albertus Magnus	Albertus Magnus College	
Albion	Albion College	
Albright	Albright College	
Alfred St	Alfred State College	
Alfred	Alfred University	
Allegheny	Allegheny College	
Alma	Alma College	
Alvernia	Alvernia University	
Amherst	Amherst College	
Anderson IN	Anderson University (Indiana)	
Anna Maria	Anna Maria College	
Arcadia	Arcadia University	
Asbury	Asbury University	
Augsburg	Augsburg University	
Augustana IL	Augustana College (Illinois)	
Aurora	Aurora University	
Austin Col	Austin College	
Averett	Averett University	
Babson	Babson College	
Baldwin-Wallace	Baldwin Wallace University	
Bard	Bard College	
Bates	Bates College	
Belhaven MS	Belhaven University	
Beloit	Beloit College	
Benedictine IL	Benedictine University (Illinois)	
Berea	Berea College	
Berry	Berry College	
Bethany WV	Bethany College (West Virginia)	
Bethany Luth	Bethany Lutheran College	
Bethel MN	Bethel University (Minnesota)	
Blackburn	Blackburn College	
Bluffton	Bluffton University	
Bowdoin	Bowdoin College	
Brandeis	Brandeis University	
Brevard	Brevard College	
Bridgewater VA	Bridgewater College (Virginia)	
Bridgewater MA	Bridgewater State University	
Brooklyn Col	Brooklyn College	
Bryn Athyn	Bryn Athyn College	
Bryn Mawr	Bryn Mawr College	
Buena Vista	Buena Vista University	
Buffalo St	"Buffalo State, State University of New York"	
Cairn	Cairn University	
Caltech	California Institute of Technology	
Cal Lutheran	California Lutheran University	
Calvin	Calvin University	
Capital	Capital University	
Carleton MN	Carleton College	
Carlow	Carlow University	p
Carnegie Mellon	Carnegie Mellon University	
Carroll WI	Carroll University (Wisconsin)	
Carthage	Carthage College	
Case Western	Case Western Reserve University	
Catholic	Catholic University	
Cedar Crest	Cedar Crest College	
Centenary	Centenary College (Louisiana)	
Centenary NJ	Centenary University (New Jersey)	
Central IA	Central College (Iowa)	
Centre	Centre College	
Chapman	Chapman University	
Chatham	Chatham University	
Chris Newport	Christopher Newport University	
Claremont M.S.	Claremont McKenna-Harvey Mudd-Scripps Colleges	
Clark MA	Clark University (Massachusetts)	
Clarkson	Clarkson University	
Coe	Coe College	
Colby	Colby College	
Colby-Sawyer	Colby-Sawyer College	
St Benedict	College of Saint Benedict	
Concordia Mhd	"Concordia College, Moorhead"	
Concordia IL	Concordia University Chicago	
Concordia TX	Concordia University Texas	
Concordia WI	Concordia University Wisconsin	
CT College	Connecticut College	
Cornell IA	Cornell College	
Covenant	Covenant College	
Crown MN	Crown College (Minnesota)	
Curry	Curry College	
Dean	Dean College	
Delaware Val	Delaware Valley University	
Denison	Denison University	
DePauw	DePauw University	
DeSales	DeSales University	
Dickinson	Dickinson College	
Dominican IL	Dominican University (Illinois)	
Drew	Drew University	
Earlham	Earlham College	
E Texas Bap	East Texas Baptist University	
E Connecticut	Eastern Connecticut State University	
E Mennonite	Eastern Mennonite University	
Eastern Univ	Eastern University	
Edgewood	Edgewood University	
Elizabethtown	Elizabethtown College	
Elmhurst	Elmhurst University	
Elmira	Elmira College	
Elms	Elms College	
Emerson	Emerson College	
Emmanuel MA	Emmanuel College (Massachusetts)	
Emory	Emory University	
Endicott	Endicott College	
Eureka	Eureka College	
FDU Madison	"Fairleigh Dickinson University, Florham"	
Farmingdale	Farmingdale State College	
Ferrum	Ferrum College	
Fitchburg St	Fitchburg State University	
Framingham St	Framingham State University	
Franciscan OH	Franciscan University of Steubenville	
Frank & Marsh	Franklin & Marshall College	
Franklin	Franklin College	
Geneva	Geneva College	
George Fox	George Fox University	
Gettysburg	Gettysburg College	
Gordon	Gordon College	
Goucher	Goucher College	
Greensboro	Greensboro College	
Greenville	Greenville University	
Grinnell	Grinnell College	
Grove City	Grove City College	
Guilford	Guilford College	
Gust Adolphus	Gustavus Adolphus College	
Gwynedd-Mercy	Gwynedd Mercy University	
Hamilton	Hamilton College	
Hamline	Hamline University	
Hanover	Hanover College	
Hardin-Simmons	Hardin-Simmons University	
Hartwick	Hartwick College	
Haverford	Haverford College	
Heidelberg	Heidelberg University	
Hendrix	Hendrix College	
Hilbert	Hilbert College	
Hiram	Hiram College	
Hobart & Smith	Hobart and William Smith Colleges	
Hollins	Hollins University	
Hood	Hood College	
Hope	Hope College	
Houghton	Houghton University	
Howard Payne	Howard Payne University	
Huntingdon	Huntingdon College	
Husson	Husson University	
Illinois Col	Illinois College	
IL Tech	Illinois Institute of Technology	
IL Wesleyan	Illinois Wesleyan University	
Immaculata	Immaculata University	
Ithaca	Ithaca College	
John Carroll	John Carroll University	
John Jay	John Jay College of Criminal Justice	
Johns Hopkins	Johns Hopkins University	
J&W RI	Johnson & Wales University (Providence)	
J&W NC	Johnson & Wales University Charlotte	p
Juniata	Juniata College	
Kalamazoo	Kalamazoo College	
Kean	Kean University	
Keene St	Keene State College	
Kenyon	Kenyon College	
Keuka	Keuka College	
Keystone	Keystone College	
King's PA	King's College (Pennsylvania)	
Knox	Knox College	
La Roche	La Roche University	
LaGrange	LaGrange College	
Lake Forest	Lake Forest College	
Lakeland	Lakeland University	
Lancaster Bib	Lancaster Bible College	
Lasell	Lasell University	
Lawrence	Lawrence University	
Lebanon Val	Lebanon Valley College	
Lehman	Lehman College	
Lesley	Lesley University	
Le Tourneau	LeTourneau University	
Lewis & Clark	Lewis & Clark College	
Linfield	Linfield University	
Loras	Loras College	
Luther IA	Luther College	
Lycoming	Lycoming College	
Lyon	Lyon College	
Macalester	Macalester College	
ME Maritime	Maine Maritime Academy	
Manchester	Manchester University	
Manhattanville	Manhattanville University	
Maranatha Bap	Maranatha Baptist University	
Marian WI	Marian University (Wisconsin)	
Marietta	Marietta College	
Martin Luther	Martin Luther College	
Mary Baldwin	Mary Baldwin University	
Marymount VA	Marymount University (Virginia)	
Maryville TN	Maryville College (Tennessee)	
Marywood	Marywood University	
MA Col Lib Arts	Massachusetts College of Liberal Arts	
MIT	Massachusetts Institute of Technology	
MA Maritime	Massachusetts Maritime Academy	
McDaniel	McDaniel College	
McMurry	McMurry University	
Medgar Evers	Medgar Evers College	
Meredith	Meredith College	
